key,val
59.942,zjclzyklbgahteluhnbc
94.075,qnhockykqvtowzsweyds
42.037,apjjjnybivruwmepaslw
87.765,zgfeqmmjiyfykcsmfmbi
94.219,dppcvabnxiksrwtdsexv
86.027,rdwyujaqpigzdbceiwwg
20.949,rggguhcogvgaahfkhhju
11.697,tdkjkfbtlptsmmgryzle
82.24,gsbnszxuycrsljaawjip
20.641,hsainfdzxqtfvfcibxid
77.568,vljwiebymjtjxjrokjfd
71.198,flhzmrfsxkfhtrslinin
57.235,ksktolgxjanuhmkoehfh
60.613,fuxhnjbqipvaimmxgyss
92.196,linxozsewsybpyqsnvdn
9.087,sxdlyoozhvbfwbdguhuc
85.669,khhipxuosjjquqwzwbkp
23.172,govwxzovqonapghgxoic
10.767,trwegpdctyfnvcylrppf
10.933,znstpluagumnbtsgriax
14.618,kwclsvktybvmrpppucdi
13.068,xzavqkywgnlujonzsjqv
15.209,zjykhtfrdijjvzkutgjj
65.862,vtyayfxbdbbqjorjjfrj
44.0,gpyxyzbuiixsdfwpylco
43.826,jfszipwbmktbpirwcczd
89.071,ufauqechboqfdrbezpfd
78.58,bvobkenjglafrqnjuvkm
95.751,xztpliidyhsrtvsyoljs
42.876,quveqhrayplydsxyajzq
82.909,pxwwvuuyyfeykoiurjlg
49.288,zscbybctwmevnrzriwbk
62.672,jowctrmlrgtljydpivlo
94.283,zrifntclmrisoehzhvxb
94.387,boxszgufutdvimuuqrhp
98.585,ohqxiirpkbnuvzjytvfh
18.885,oukkfdaslhpdzgcwwvfe
4.94,fkmudwgypboltxoivfqm
82.052,mfnchkykbopbmuldkugl
16.472,zrvmrrlpycoiffsclmhh
48.365,ewjusigkrlwzitkxqbow
28.464,mymewvbgbrvysbumjvcl
43.24,dxmjboegbveoihyeyusz
89.122,gfuejdkwabgwzfffkeqh
42.687,kcsjpuhekzdydfhdyoah
54.976,pptbekbuknskhjeypvqo
16.805,ccwzkcopggnewxgizrrh
17.869,cqnfyriwvkvlrtkwmzbk
16.034,riqviztidkdblqelzmof
62.069,qompwhrvytsqftjmwbby
12.529,pxfjqkttonhwsyazlrxj
70.391,mifcpuobiktjrcnsckee
59.067,coytcdbppyvfaoqysgyx
58.332,rycofbnsfhtnkdiwytjw
35.598,avjijindclkcernefdfd
98.047,wnpsquqwwacukmwkgwqo
