key,val
jbviwcvpbranutmjfetn,72.047
qmgidvlmjphdvecuyzca,22.094
crqzxpxjwelkmqnzzkvf,82.925
apdzfbohlgxmivjaqazm,2.194
ktfgtoqulrzvrbiprfet,92.55
pjtcqmonqdjnnzhdgqmc,96.64
yzgindjwktwptjdmjwzt,24.167
niiwixhtwskicqviocrt,11.852
wgbasljwfkuiuepbkbeh,60.927
rsfbnucwdjayvgsxgtcd,93.392
wjzgwwiarlkwmhzrpdid,89.873
qpkmcehxkbffqwtnebnr,35.368
mndwkyeyhveqpzdfxyfu,46.858
gohdanlzczjfsvybqfpd,46.849
eheaqxvxohgkhqzwirlc,30.157
rlzptwooommftmngarnd,56.015
rvjklbxmjmczqvwpjlxh,12.879
gqgizizyjgydrpdfadcz,30.057
iptrvjaclhtiayfujnrg,9.957
xlbcjswmqihydshomije,38.981
tehjmehfhqusgoluynrh,71.217
tiysxrlqtbmiamahxjjn,98.937
ikacuoypicpliyijsmrl,75.632
xeqrjhsqeimthdmfnejd,44.415
zumpzrbjwrmukjrrzdth,86.544
ugqlcbhwgtrldwqoicxq,15.83
sogidwyzuzfstgfejbdb,55.145
fxoodakfricallqqrato,46.48
qogmbncdmdbntmyuevkj,24.334
vdwxqmnmpbwmdrehnnoj,20.888
wmqlnjpddmnhtjvictkh,38.82
cxyghjwdaxkuqbtrqmcg,22.407
vixwwukclhtjqvvnvvlz,17.241
uihovjitlamchpqekwyz,71.284
rfwplkptntjdtfjhfxki,90.693
fcaylgmmktgeeozfhczh,54.707
vppwyftlnsrodtxaojdf,54.794
ouhdbgjrqubqgjbwkzan,80.066
rkizbnihrjmlnuvvxyzq,87.383
xkjmbluqxvytwnhjoyob,95.304
bbebdineohzewkubxmkc,47.374
ymmhkjbtwjcuiaoejnbv,4.602
rygbduenziywchjposfw,18.171
duooqlbvbomesffdtgxr,50.083
kmfqbhabmheqlppcrvag,90.505
qtdqivsnpoflyyvslmfc,66.46
dsqtufgujxvmlrefsigk,0.649
mqlchhiynrfzojybeihm,43.831
iwpnygxbwofsvsktorss,90.286
upfmoxxskkznbperhkml,84.15
aiexltnaeghmhsvxydzv,74.745
qocxrzwckktnwwbqzdwq,77.348
xijaikgrlkmadikerncv,51.232
xmshesjytnelilgtjzdx,93.133
fcqvigaznkgivfnysxae,53.185
hszarvfbkbbxfifwnpnr,3.049
cqpeyagmngdjfznjosbj,21.36
oorsvlaxummfbcnjvvtn,70.327
nbcpjcpgbdyptrdoqemy,44.337
nlrrnoflvhzqwszneiwm,36.283
rutxccjqamihmcypymuk,28.162
ygkysorlkdtgufbpriin,25.514
mxbvfkylumptqcmwyeoc,91.169
wksaeximzarnfkflndln,74.274
cotkcemxyjramwcpqwsl,47.115
iktpvekaaxfcsvxaywrf,23.114
uwatsxyqabchxwuvmrhk,24.165
cawozjpwkbxthlrnfsce,57.67
hdsfehvexgrkwbymipls,36.114
oymqfciijegmvdltiqxg,59.148
qyadkrspzowkthfdfral,42.226
aciezwgudcxmmsgkkfgp,64.0
iboiqcvhkyfrfimboamq,53.175
mclyejjxufbvfcktzaym,70.182
qnrqqlxwetvpkixgyjkq,71.75
gfkrhrywcccdiylnwhct,9.078
whszoeaxttmdotdebtos,57.787
klixkxplqmpjjfsneaol,99.909
amfccqsgkfobhuowlqbf,59.86
wgurwgvkvsqfxzsolisk,87.517
liqceiubmrxkhwzflzdb,44.079
wumnrnakqdledogmbyto,37.286
yjihmlqttuiytgdjjmzb,66.369
vfdamblfkxcivravmwgv,10.107
xxvykvcntqxfodydcdaz,74.893
bdkhvsctlcmjjtkhupzk,70.093
lxdjzoyfgmftptxtdoye,25.909
oylodpfhyqlmslemurch,92.623
qitvrqjrjcuhzdksqhxb,24.809
waewjgnzwcylzvntjlyx,85.98
parcadutuslxuensigpo,89.106
sxvfzwwxboednlbdmssh,39.34
zbbvzbewhxquavqdwawm,75.575
ifhaedqbdppictertzol,27.314
vpvkewzpvtcyowzlsqqc,95.562
ktchwwxmbrfhncwhdnzl,62.826
xkgcwsjqeosuobnesnlk,96.822
retoydnnzzsrsrbxplyn,96.671
yommtspkqkplxcrwpclw,49.931
cwarbbqmsqkbvzugfufl,15.077
skqsrsteivghpzzfygzw,61.809
tsrbynamighdrisqxzif,52.796
ycbznlvwrawqcaakewin,14.274
ghpnuaogmwhmjeljrddg,24.903
auyupxqtbusdhdmnmojc,49.357
cvexbqbsuthbvrowjjrc,24.833
vqfrmbjerhjqtrhupixl,29.105
bzthomppyvyyzgwzebyz,72.43
wragcvmgvmiyccpmtspg,28.031
kwmgqfbpbvyjckyfwlkv,4.951
eipbynomufwrbajygegt,11.557
scmkwdlbkrtcdnzfdllw,10.734
gzfuktiehyhrxclpncmh,60.146
etauywqvqehxeaolhlpe,20.073
ffpaawvdbyefuzrirlvj,21.691
rmrrbijzwdqoancsvrtn,87.893
sydjtlabgsmzdlbpubfa,26.311
trcjiwtpfhwonqezaopr,94.723
aomfzdnvvrurdemxdtdj,22.673
sjejgypycfdsasimtsyu,42.934
slsrtcwkmxtftwzygnse,31.576
lrohyrlzlvnntceoestp,96.423
yxzayeiwcfdlloxoyywu,5.111
xhtqxqjnokalhfnerpgn,52.743
scnasqghndsixgzwkwft,89.789
ledkpszrkkikwepwdvkr,1.999
mdtflmqowtxhqjilwftw,58.307
fnapuhgsniezqtjoyubm,65.642
fqiiopwljubsxrmwncvb,84.145
eiwfuxrgobfyxpuwxmko,61.291
skgwrfhurmbxqbtwtvsk,46.543
cbgdtviwpskqxhtiwgcy,39.509
bxjckeycujeelelnhcnv,32.707
fdowmlljxyetueaclcqk,37.015
xyyihphbipltrcyndlva,83.016
eppijsrfyqhobgapdhmh,75.941
kmjbrgwuekulvnuturxi,23.096
tlxgrvakkgeicpzacjou,13.824
eqjjewjebeuhqymjzkwe,68.005
ppoosfomqfuvyjvocgrn,93.862
shlvifhjunfrfhvcwolu,23.596
kkuwesffgagqzqogntmd,76.304
njpsdjcajodxgwvgfrcy,64.733
kgnsglhbfqbijkflgwas,25.203
zkyifbmlwthtmhqysdmm,18.072
krbrxexpwkdjufxxakyr,55.52
rrhxlmqqgwjlzzgnnyig,92.526
bmiikwzmccjjndpgofiv,66.759
lzwgktccksqtrxcmcuuf,96.545
lgyqihjsqztcenpzqcvu,40.849
qkylrcpeefbknowhsyzl,61.105
njfgpbjupmnkcofappoa,5.726
suvnhszwiyrwoazfdiyt,61.972
twkdsjcevyznorcixvwo,68.096
yegqcundlicfcytleuie,19.869
iohfswszbbydczzqtwsa,1.589
drhnmgwkrfncppmffyyo,98.119
stylwhdsjfvusexrrbqx,19.766
gyjtsyfregobosrtzndd,20.532
yjpzhhiebzemzqdaejjc,59.725
agjcxfkfowturjdditeq,6.721
cjbpadmoekjlewenspmh,35.986
eghpueeguwyzbfjwnmcm,92.174
wqhtejmivnczngofscyz,39.868
lxxteamdtzmgtlufhqlz,0.36
gpnnwyrszvwmbushjplj,94.763
pdsxvkiqxfbebshvcgwe,12.267
wwjdogzrckolzniioagg,7.558
cfalxxyeppfunflacvdp,21.333
aaaxdkippakmcuqbgwaj,23.814
vrsqgbmwjbuckzpuocvn,55.378
uscsybsynbfyydmmxtbu,82.969
wojsswbdudomsydcheja,39.027
wrabybwoqjwfhpyzrizl,88.767
wltewwxbwijwscrezxzn,64.706
huwdyioriowogsyopfju,97.263
xhaayzflyaohzzbugfsz,72.341
kvkztqzfkfoazjsfeqvu,95.91
axtglwqwkiarumwmkdqs,1.476
gmbegwpoxpgmsduyzzvm,22.146
ktuwieotvjzvbsexgulx,5.165
tgjybxjgruuklnqqgyhb,30.698
ddzyfstuqdshtvndjyth,10.415
xhyrwyzijbammkqpyvxw,25.182
hwtovwzpdglexfcvlvjm,78.752
lmiwcbusjmecbnhqfhrv,51.217
kbmmntecnxsemxdjuqga,39.155
auurkehqsdxgyujbbfkt,78.913
